ID,Subset,Question,Translated Question,Options,Translated Options,Label,Category,Image Type,Image Source,License,image_path,tag
5920593854272599305_1,"('Tamil', 'India')",படத்தில் எத்தனை சுவைகள் காணப்படுகின்றன?,How many flavors of the dessert are seen in the image?,['7' '3' '9' '5'],['7' '3' '9' '5'],-1,Cooking and food,External,"https://commons.wikimedia.org/wiki/File:Faluda_at_Juhu_Beach,_Mumbai.jpg",CC BY-SA 4.0,image_20.jpg,"beverage, bottle, bubble tea, case, color, container, cup, drink, fill, flavor, food, fruit, juice, liquid, milkshake, shake, showcase, straw, tray, umbrella"
5865925794273878684_2,"('Romanian', 'Romania')",Din ce material sunt făcute bluzele din imagine?,What material are the blouses in the picture made of?,['bumbac' 'mătase' 'lână' 'in'],['cotton' 'silk' 'wool' 'linen'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_26.jpg,"case, clothing, costume, display, dress, garment, mannequin, museum, showcase, wear"
5865687724278338226_1,"('Bengali', 'India')",বাম পাশের লাল রঙের সব্জি টি কি?,What is the red coloured vegetable on the left side?,['আলু' 'আদা' 'পেঁয়াজ' 'রসুন'],['Potato' 'Ginger' 'Onion' 'Garlic'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_38.jpg,"basket, lamp, floor, garlic, man, market, onion, potato, produce, vegetable"
5865687724271272925_2,"('Bengali', 'India')",ডান পাশের সবুজ রঙের সব্জি টি কি?,What is the green coloured vegetable on the right?,['পেঁপে' 'কুমড়া' 'সবুজ আপেল' 'পেয়ারা'],['Papaya' 'Pumpkin' 'Green Apple' 'Guava'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_43.jpg,"array, eggplant, avocado, bell pepper, carrot, courgette, daikon, floor, fruit, green, kitchen floor, lay, lime, onion, pepper, produce, squash, turnip, vegetable"
5865925804275165806_1,"('Romanian', 'Romania')",In ce sărbători se manâncă această mâncare?,In what holidays is this food eaten?,['Anul nou' 'Sfânta Maria' 'Crăciun' 'Paște'],['New Year' 'Saint Mary' 'Christmas' 'Easter'],-1,Cooking and food,Self,Self-open,CC BY-SA,image_44.jpg,"bread, cheese, counter top, couple, table, food, gas stove, home appliance, kitchen counter, kitchenware, napkin, oven, pastry, pie, quiche, sit, stove, tablecloth, tray"
5865910684273870573_0,"('Chinese', 'China')",这是什么建筑？,What kind of building is this?,['白金汉宫' '布达拉宫' '卢浮宫' '水晶宫'],['Buckingham Palace' 'Potala Palace' 'Louvre' 'Crystal palace'],-1,Geography / buildings / landmarks,External,https://www.flickr.com/photos/cnxjj/218533092/in/photolist-kj3gW-5jidCF-5jijCR-5jnD3m-5ji5De-5jnxTC-5jnwTu-5jntdd-5jinZv-5jnE9b-5jnriC-5ji4MV-5jnpBb-5jnuVf-5jnoNL-5jibDH-5jnsh7-5jnyHA-5jnzM5-5jipan-5jiiwi-bzzzP5-5ji89H-nK4N4Y-etnoVh-fqg8yB-6ZJ5pS-6ZE4HM-2jbE1uk-6ZJ5x9-2iUscC2-aCzKRa-aCzBHi-cWCqx9-cWBWuh-cWCrzm-cWCvmd-9VPA5n-cWBZGb-cWCsFy-cWBY3G-cWBC31-cWBXtL-cWCubb-cWCtyE-cWCwm5-cWCo5N-cWCxa7-cWBv13-6mWW68,Attribution-NoDerivs License,image_49.jpg,"monastery, blanket, building, hill, hillside, loom, mountain, palace, sky, snowy, white"
5920593834278496132_1,"('Tamil', 'India')",இந்த நபர்கள் எந்த துறையில் வேலை செய்கிறார்கள்?,What industry do these individuals work in?,['பத்திரிகை' 'கொள்கை உருவாக்கம்' 'தொழில்நுட்பம்' 'சினிமா'],['Journalism' 'Policy Making' 'Technology' 'Cinema'],-1,Public Figure and pop culture,External,"https://commons.wikimedia.org/wiki/File:Rajinikanth,_Kamal_Haasan_and_Ilaiyaraaja_At_The_Nadigar_Sangam_Protest.jpg",CC BY-SA 3.0,image_54.jpg,"actor, event, person, launch, man, stand"
5865925804277230669_1,"('Romanian', 'Romania')",Ce reprezintă obiectele din imagine?,What do the objects in the image represent?,['cai' 'urși' 'capre' 'păpuși'],['horses' 'bears' 'goats' 'dolls'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_56.jpg,"bag, bulletin board, cloth, display, floor, plaque, room, showcase"
5920593834276157822_0,"('Tamil', 'India')",படத்தில் காட்டப்பட்டுள்ள மும்முனைப் பொருள் என்ன அழைக்கப்படுகிறது?,What is the three-way pointed thing shown in the image called?,['முக்கோணம்' 'குத்து' 'திரிசூலம்' 'அம்பு'],['Triangle' 'Dagger' 'Trident' 'Arrow'],-1,Traditions / art / history,Self,Self-open,CC BY-SA,image_58.jpg,"antler, campfire, trumpet, floor, grill, iron, pitchfork, pot, rake, sand, stick, tool"
5865910664277614074_1,"('Chinese', 'China')",图中的这个地标和什么事件有关？,Which event is this landmark related to?,['北京奥运会' '上海世博会' '深圳大运会' '香港赛马会'],"['Beijing Olympics' 'Shanghai Expo' 'Universiade Shenzhen'
 'Hong Kong Jockey Club ']",-1,Geography / buildings / landmarks,Self,Self-research_only,CC BY-NC,image_61.jpg,"building, pillar, sea, pole, tower, rail, red, rocket, sculpture, sky, tube"
