video_name,keywords,img_path,objects,metadata_fn,region,tag
Juezhannanjing,"government, military, politics, president, war, respect",MC-VCR_sample/0.jpg,"person, person, person",MC-VCR_sample/0.json,east-asia,"man, martial, monk, preacher, robe, stand, uniform, writing"
Juezhannanjing,"wedding, soldier, bride, groom, shy, luck",MC-VCR_sample/1.jpg,"person, suitcase, suitcase, person, person",MC-VCR_sample/1.json,east-asia,"trench coat, bureau, cloth, coat, jacket, luggage, man, red, robe, room, stack, stand, wear"
Juezhannanjing,"campaign, teacher, student, suggestion, revolt",MC-VCR_sample/2.jpg,"person, person, book, book, book, dining table, book, handbag",MC-VCR_sample/2.json,east-asia,"wand, table, person, man, scroll, stand, sword, woman"
A Little Reunion,"breakfast, office, wait, peddler, customer, cook",MC-VCR_sample/3.jpg,"person, person, person, person, bowl, person, bowl, tie, cup",MC-VCR_sample/3.json,east-asia,"cart, cook, crowded, food, food stand, person, man, stand, stool, street food, street vendor, vendor, woman"
A Little Reunion,"home, student, uniform, parents, breakfast, go to school",MC-VCR_sample/4.jpg,"person, person, person, chair, bowl, chair, potted plant, potted plant, dining table, bowl, vase, potted plant, frisbee, bowl",MC-VCR_sample/4.json,east-asia,"conversation, table, dinning table, food, person, man, room, sit, stool, woman"
A Little Reunion,"exam, score, school, high school, uniform, shy, praise",MC-VCR_sample/5.jpg,"person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, person, book, person, book, book, book, person",MC-VCR_sample/5.json,east-asia,"blue, bookcase, bookshelf, boy, child, choir, hand, library, prayer, student, school uniform, sing, stand, uniform, wear"
Red Sorghum,"market, goods, businessman, snack, soldier",MC-VCR_sample/6.jpg,"person, person, person, person, person",MC-VCR_sample/6.json,east-asia,"alley, catch, guard, person, man, stand, sun hat, sword, walk, wear"
Red Sorghum,"funeral, kitchen, mill, countryside",MC-VCR_sample/7.jpg,"person, person, bowl, dining table, bowl, pizza, bed, handbag",MC-VCR_sample/7.json,east-asia,"cinema, table, food, person, man, robe, room, scene, stand, stool, woman"
Red Sorghum,"wedding, groom, boss, subordinate",MC-VCR_sample/8.jpg,"person, person, person, person, person, person",MC-VCR_sample/8.json,east-asia,"actor, cinema, curtain, dress shirt, garment, man, red, shirt, stand, tie, wear"
Red Sorghum,"visit, servant, maid, drug, bedroom",MC-VCR_sample/9.jpg,"person, person, person, person, person, potted plant",MC-VCR_sample/9.json,east-asia,"boy, child, conversation, curtain, family, person, man, room, stand, woman"
Years of Passion,"regulation, license, sale, officers",MC-VCR_sample/10.jpg,"person, person, person, person, person, person, person, handbag, backpack",MC-VCR_sample/10.json,east-asia,"alley, boy, floor, person, man, pavement, stand, walk"
Years of Passion,"station, ticket, farewell",MC-VCR_sample/11.jpg,"person, person, person, person, person, train, person, person, person, person, person, person, person, person, umbrella",MC-VCR_sample/11.json,east-asia,"green, person, passenger, passenger train, railway station, sign, stand, station, subway, train, train car, walk, writing"
